subject_id,artifact_type,severity,method,mse,corr,snr_after_db,snr_improvement_db,mean_band_rel_error,combined_score,l_freq,h_freq,order,q,mysize,wavelet,level,threshold_scale,mode,n_components,top_k,excluded_components,converged
4,emg,low,Wavelet,1.3008369934340127e-11,0.9875347158490504,15.739398473915818,-9.815828593148476,0.028711303734126517,0.9999999999963756,,,,,,coif3,3.0,0.8,hard,,,,
4,emg,medium,ICA,8.243247644345307e-12,0.9921258989297944,17.545028607324014,-5.379380971367755,0.016093625651070108,0.9999999999966833,,,,,,,,,,30.0,1.0,[np.int64(21)],True
4,line,high,ICA,1.685907878363452e-11,0.9841607820898395,14.68468396382991,2.094852824061496,0.004326730566073399,0.9999999999961553,,,,,,,,,,10.0,1.0,[np.int64(6)],True
4,line,low,ICA,1.1042531126239496e-11,0.9894414898133526,16.396096720020065,-5.518312185882262,0.01842388485351225,0.9999999999964935,,,,,,,,,,10.0,1.0,[np.int64(8)],True
4,line,medium,ICA,2.7454995935099936e-12,0.9973833605013361,21.46817695233503,4.481361141456517,0.0015840944435300897,0.999999999996924,,,,,,,,,,30.0,2.0,"[np.int64(20), np.int64(22)]",True
4,mixed,high,Butterworth+Notch,1.924850934109448e-10,0.7969762562522832,4.336799380273274,5.992841435293127,0.08050011453925084,0.9896244440286247,1.0,45.0,2.0,40.0,,,,,,,,,
4,mixed,low,ICA,2.4868313047403904e-11,0.9766953671619174,13.075593415522471,-0.43286992112231104,0.008009380341416393,0.9999999999958624,,,,,,,,,,10.0,1.0,[np.int64(8)],True
4,mixed,medium,ICA,5.1506927357179194e-11,0.9524347330942803,10.001108448725356,3.0677645199209067,0.005675072731500341,0.9999999999970832,,,,,,,,,,15.0,2.0,"[np.int64(5), np.int64(14)]",True
5,blink,high,Wavelet,3.645824075240755e-11,0.9617010929403541,11.052766486264002,-3.3186140376071194,0.05831117552802277,0.9651958026174882,,,,,,coif3,3.0,0.8,hard,,,,
5,blink,low,Wavelet,2.2388180017106275e-11,0.9762838681054914,13.098275973462163,-8.407136229923141,0.053893904876499914,0.9571451524974409,,,,,,coif3,3.0,0.8,hard,,,,
5,blink,medium,ICA,1.0333273262746784e-11,0.9891576836808588,16.24468664851575,2.5934038041203635,0.016962109932060064,0.998252125701567,,,,,,,,,,30.0,1.0,[np.int64(6)],True
5,drift,high,Butterworth+Notch,3.960432255918674e-11,0.9576352716024754,10.702517561213789,3.137948070021219,0.00902914372141288,0.9999999999969402,0.5,45.0,4.0,40.0,,,,,,,,,
5,drift,low,ICA,1.9641774631272025e-11,0.9792806653418932,13.640769931818832,-5.147426843570949,0.023449999857920113,0.9864763939381953,,,,,,,,,,30.0,1.0,[np.int64(6)],True
5,drift,medium,Butterworth+Notch,3.819531525317307e-11,0.9591642177385493,10.85589863371331,-2.310102467315808,0.009852878375783053,0.9999999999786984,0.5,45.0,4.0,40.0,,,,,,,,,
5,emg,high,ICA,1.481337014513484e-11,0.9844016592532033,14.79799588629181,-4.281182785819903,0.015481603627242487,0.9999999999922413,,,,,,,,,,30.0,1.0,[np.int64(23)],True
5,emg,low,Wavelet,2.0396090054432763e-11,0.9784012220521923,13.48489608119517,-12.094241910239734,0.05414576449938875,0.955587172917579,,,,,,coif3,3.0,0.8,hard,,,,
5,emg,medium,Wavelet,2.1617032760899895e-11,0.9770955330746696,13.243883981467324,-9.166936863983498,0.054886244374480905,0.955678166246846,,,,,,coif3,3.0,0.8,hard,,,,
5,line,high,ICA,2.5070424911987408e-11,0.973856611793469,12.626759156297185,-0.24154264368020684,0.01810704557081411,0.992023894361458,,,,,,,,,,10.0,1.0,[np.int64(9)],True
5,line,low,Wavelet,2.43981986455851e-11,0.9741068937096975,12.740211096617493,-9.059259059829024,0.07067487930731912,0.9386694129540651,,,,,,coif3,3.0,0.8,hard,,,,
5,line,medium,Wiener,2.5674373362011486e-11,0.9735271538851153,12.52729799545494,-4.203102034073279,0.21119366308781756,0.7999999999867675,,,,,5.0,,,,,,,,
5,mixed,high,Butterworth+Notch,2.0000383694009705e-10,0.7844877813396788,3.756196775579723,6.720753618068867,0.08934150282927812,0.999999999999182,1.0,45.0,2.0,40.0,,,,,,,,,
5,mixed,low,Butterworth+Notch,4.4054520475914104e-11,0.9527452047806966,10.250856534880018,-0.9958236700357865,0.02497006325942974,0.9999999999850291,0.5,45.0,2.0,40.0,,,,,,,,,
5,mixed,medium,Butterworth+Notch,4.759456276046876e-11,0.9488511291926492,9.922363464315703,2.3884763163429135,0.020246589789107653,0.9999999999966243,0.5,45.0,2.0,40.0,,,,,,,,,
